DESTINO,PROVINCIA,CANTON,REGION_SOCIOECONOMICA,ZONA_LOGISTICA
SANTA ROSA DE POCOSOL,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
SANTA ROSA LA PALMERA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
SANTA TERESA,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
SARAPIQUÍ,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
SARCHI,ALAJUELA,,CENTRAL (OCCIDENTE),OCCIDENTE
SARCHI NORTE,ALAJUELA,,CENTRAL (OCCIDENTE),OCCIDENTE
SARCHI SUR,ALAJUELA,,CENTRAL (OCCIDENTE),OCCIDENTE
SARDINAL,GUANACASTE,,CHOROTEGA,GUANACASTE
SARDINAL DE PUNTARENAS,GUANACASTE,,CHOROTEGA,GUANACASTE
SAVEGRE,PUNTARENAS,QUEPOS,PACÍFICO CENTRAL,PACÍFICO CENTRAL
SIQUIRRES,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
SIXAOLA,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
SÁMARA,GUANACASTE,,CHOROTEGA,GUANACASTE
TABARCIA DE MORA,SAN JOSÉ,MORA,CENTRAL,VALLE CENTRAL
TAMARINDO,GUANACASTE,,CHOROTEGA,GUANACASTE
TAMBOR,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
TANQUE,ALAJUELA,SAN CARLOS,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
TARAS,CARTAGO,CARTAGO,CENTRAL,VALLE CENTRAL
TARBACA,SAN JOSÉ,ASERRÍ,CENTRAL,VALLE CENTRAL
TARCOLES,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
TARRAZÚ,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
TEJAR,CARTAGO,EL GUARCO,CENTRAL,VALLE CENTRAL
TEJAS,CARTAGO,EL GUARCO,CENTRAL,VALLE CENTRAL
TERCIOPELO,LIMÓN,SIQUIRRES,HUETAR CARIBE,LIMÓN Y CARIBE
TERCIOPELO -NICOYA-,GUANACASTE,,CHOROTEGA,GUANACASTE
TICABAN,LIMÓN,POCOCÍ,HUETAR CARIBE,LIMÓN Y CARIBE
TIERRA BLANCA,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
TILARÁN,GUANACASTE,,CHOROTEGA,GUANACASTE
TODO EL PAÍS,TODO EL PAÍS,COBERTURA GENERAL,NACIONAL,TODO EL PAÍS
TRES EQUIS,CARTAGO / LIMÓN,TURRIALBA,CENTRAL / CARIBE,VALLE CENTRAL / RUTA CARIBE
TRES RÍOS,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
TUCURRIQUE,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
TUIS,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
TURRIALBA,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
TURRUCARES,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
UJARRAS,CARTAGO,PARAÍSO,CENTRAL,VALLE CENTRAL
UPALA CENTRO,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
UVITA,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
VALLE AZUL,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
VALLE LA ESTRELLA,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
VARA BLANCA,HEREDIA,HEREDIA,CENTRAL,VALLE CENTRAL / MONTAÑA
VENADO,ALAJUELA,SAN CARLOS,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
VENADO -SANTA CRUZ-,GUANACASTE,,CHOROTEGA,GUANACASTE
VENECIA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
VILLA REAL,GUANACASTE,SANTA CRUZ,CHOROTEGA,GUANACASTE
VOLCAN,PUNTARENAS,BUENOS AIRES,BRUNCA,ZONA SUR
VUELTA DEL JORCO,SAN JOSÉ,ASERRÍ,CENTRAL,VALLE CENTRAL
VUELTA JORCO,SAN JOSÉ,ASERRÍ,CENTRAL,VALLE CENTRAL
"ZAPOTE, SARAPIQUI",ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
ZARCERO,ALAJUELA,,CENTRAL (OCCIDENTE),OCCIDENTE
ZONA SUR,PUNTARENAS / SAN JOSÉ,VARIOS,BRUNCA,ZONA SUR
